Odeme_ID,Tip,Hesap_Adi,Tarih,Aciklama,Tutar,Kategori_ID,Donem,Sube_ID,Kayit_Tarihi
372,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-13.02,81,2507,1,"2025-08-28 19:46:52"
373,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.66,81,2507,1,"2025-08-28 19:46:56"
375,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-11.97,81,2507,1,"2025-08-28 19:47:05"
376,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-01,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.60,81,2507,1,"2025-08-28 19:47:10"
385,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-6.84,81,2507,1,"2025-08-28 19:47:45"
386,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.34,81,2507,1,"2025-08-28 19:47:49"
388,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-12.35,81,2507,1,"2025-08-28 19:47:56"
389,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-02,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.62,81,2507,1,"2025-08-28 19:48:00"
405,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-04,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-13.78,81,2507,1,"2025-08-28 19:49:04"
406,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-04,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.69,81,2507,1,"2025-08-28 19:49:09"
418,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-07,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-32.02,81,2507,1,"2025-08-28 19:49:58"
419,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-07,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-1.60,81,2507,1,"2025-08-28 19:50:02"
437,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-09,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-7.89,81,2507,1,"2025-08-28 19:51:15"
438,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-09,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.39,81,2507,1,"2025-08-28 19:51:18"
446,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-10,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-11.02,81,2507,1,"2025-08-28 19:51:50"
447,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-10,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.55,81,2507,1,"2025-08-28 19:51:54"
462,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-12,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-19.67,81,2507,1,"2025-08-28 19:52:55"
463,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-12,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.98,81,2507,1,"2025-08-28 19:52:59"
479,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-15,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-14.25,81,2507,1,"2025-08-28 19:54:03"
480,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-15,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.71,81,2507,1,"2025-08-28 19:54:06"
499,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-18,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-32.78,81,2507,1,"2025-08-28 19:55:22"
500,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-18,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-1.64,81,2507,1,"2025-08-28 19:55:27"
511,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-19,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-12.16,81,2507,1,"2025-08-28 19:56:10"
512,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-19,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.61,81,2507,1,"2025-08-28 19:56:14"
514,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-19,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-24.70,81,2507,1,"2025-08-28 19:56:23"
515,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-19,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-1.24,81,2507,1,"2025-08-28 19:56:27"
541,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-25,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-6.84,81,2507,1,"2025-08-28 19:58:16"
542,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-25,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.34,81,2507,1,"2025-08-28 19:58:20"
556,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-26,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-7.79,81,2507,1,"2025-08-28 19:59:19"
557,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-26,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.39,81,2507,1,"2025-08-28 19:59:23"
564,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-28,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-26.51,81,2507,1,"2025-08-28 19:59:51"
565,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-28,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-1.32,81,2507,1,"2025-08-28 19:59:54"
567,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-28,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-17.96,81,2507,1,"2025-08-28 20:00:03"
568,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-28,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.90,81,2507,1,"2025-08-28 20:00:08"
575,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-29,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-6.84,81,2507,1,"2025-08-28 20:00:35"
576,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-29,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-0.34,81,2507,1,"2025-08-28 20:00:39"
594,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-31,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı Üye İşyeri Ücreti - Peşin",-20.81,81,2507,1,"2025-08-28 20:01:47"
595,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-31,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N004 Yurt Dışı Kredi Kartı İşlemi BSMV",-1.04,81,2507,1,"2025-08-28 20:01:51"
597,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-31,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı Üye İşyeri Ücreti - Peşin",-11.78,81,2507,1,"2025-08-28 20:01:59"
598,"Banka Hesabı","QNB - Vadesiz Kobi Nakit",2025-07-31,"Kart İşlemleri - İşyeri:092800000013185 (Satış) N002 Yurt Dışı Banka Kartı İşlemi BSMV",-0.59,81,2507,1,"2025-08-28 20:02:04"
